GEOL 1003 	Introduction to Oceanography 
GEOL 1014 	Physical Geology 
GEOL 1043 	Geology of the National Parks 
GEOL 1991 	Introduction to the Geosciences 
GEOL 2003 	History of the Biosphere 
GEOL 2053 	Earth Resources 
GEOL 2063 	Geological Hazards and Catastrophes 
GEOL 2143 	Mineralogy 
GEOL 2571 	Introduction to Geosciences Internship 
GEOL 2572 	Introduction to Geosciences Internship 
GEOL 2573 	Introduction to Geosciences Internship 
GEOL 2871 	Introduction to Research 
GEOL 2872 	Introduction to Research 
GEOL 2873 	Introduction to Research 
GEOL 3061 	Structural Geology Laboratory 
GEOL 3063 	Introduction to Structural Geology 
GEOL 3151 	Sedimentary Rocks and Processes Laboratory 
GEOL 3153 	Sedimentary Rocks and Processes 
GEOL 3573 	Environmental Geology 
GEOL 4016 	Field Geology 
GEOL 4063 	Petroleum Geology 
GEOL 4083 	Introduction to Geographic Information Systems 
GEOL 4144 	Igneous and Metamorphic Rocks and Processes 
GEOL 4253 	Marine Geology 
GEOL 4513 	Hydrogeology 
GEOL 4523 	Environmental Geochemistry 
GEOL 4571 	Geosciences Internship
GEOL 4572 	Geosciences Internship
GEOL 4573 	Geosciences Internship
GEOL 4861 	Special Topics in Geology 
GEOL 4862 	Special Topics in Geology 
GEOL 4863 	Special Topics in Geology 
GEOL 4864 	Special Topics in Geology 
GEOL 4865 	Special Topics in Geology 
GEOL 4866 	Special Topics in Geology 
GEOL 4871 	Undergraduate Research 
GEOL 4872 	Undergraduate Research 
GEOL 4873 	Undergraduate Research 
GEOL 4983 	Senior Thesis 
GEOL 4991 	Independent Study
GEOL 4992 	Independent Study
GEOL 4993 	Independent Study
GEOL 4993 	Independent Study
GEOL 5113 	Plate Tectonics 
GEOL 5263 	Carbonate Sedimentology 
GEOL 5303 	Tectonics and Sedimentation 
GEOL 5333 	Advanced Stratigraphic Analysis 
GEOL 5413 	Geochemistry 
GEOL 5433 	Organic Geochemistry 
GEOL 5513 	Microanalysis 
GEOL 5713 	Regional Tectonics 
GEOL 5723 	Geomechanics Geophysics (GPHY) 
GEOL 2503 	Physics of the Earth 
GEOL 4003 	Petroleum Seismology 
GEOL 4023 	Field Methods in Geophysics 
GEOL 4033 	Seismic Data Processing and Interpretation 
GEOL 4053 	Applied Geophysics 
GEOL 4063 	Well Logging for Geologists and Geophysicists 
GEOL 4513 	Environmental Geophysics
GEOL 4861 	Special Topics in Geophysics 
GEOL 4862 	Special Topics in Geophysics 
GEOL 4863 	Special Topics in Geophysics 
GEOL 4864 	Special Topics in Geophysics 
GEOL 4865 	Special Topics in Geophysics 
GEOL 4866 	Special Topics in Geophysics 
GEOL 4991 	Independent Study
GEOL 4992 	Independent Study
GEOL 4993 	Independent Study
GEOL 4994 	Independent Study
GEOL 5133 	Exploration Seismology 
GEOL 5153 	Integrated Seismic Data Interpretation 
GEOL 5173 	Time Series Analysis and Inverse Theory 
GEOL 5183 	Special Processing of Seismic Data 
